"","x"
"1",11.2432980762294
"2",10.5739734747599
"3",8.79811114581051
"4",9.64837306854447
"5",10.1620224235225
"6",9.25388708816063
"7",11.5180732883682
"8",12.2248083723328
"9",8.79780298901229
"10",10.6733833021907
"11",12.3864114509656
"12",10.5553680145426
"13",10.835504075042
"14",9.47376245841861
"15",11.8490472027507
"16",11.5250183665307
"17",10.0253203857498
"18",10.2628311454334
"19",9.5415438323444
"20",10.8289180954842
"21",10.6187917133833
"22",10.5625548279746
"23",10.1244750146797
"24",11.2737745449203
"25",8.98568683888979
"26",9.66144106160936
"27",9.33757263283338
"28",9.62462719340885
"29",9.5629613006381
"30",8.89832486605119
"31",9.03353131066815
"32",12.006796059634
"33",10.8034091896204
"34",10.7243605634763
"35",10.394651458365
"36",10.2905171675452
"37",11.3294311886173
"38",11.9552212141234
"39",12.5972936688574
"40",10.4989101918989
"41",9.58186602953742
"42",10.8306943742964
"43",9.63927269611713
"44",11.2372184236314
"45",10.257674775747
"46",10.837319224322
"47",10.4671120232181
"48",10.6520577988074
"49",11.9086727620651
"50",12.389061616447
"51",11.3376937660573
